symbol	aliases
A1CF	A1CF|ACF|ACF64|ACF65|apo-B RNA editing protein|apobec-1 complementation factor (ACF) (ASP)|APOBEC-1 stimulating protein|APOBEC1 complementation factor|APOBEC1 complementation factorAPOBEC1 complementation factor|APOBEC1CF|ASP
A2BP1	A2BP1
AATF	AATF
ABCA12	ABCA12
ABCA8	ABCA8
ABCB1	ABCB1
ABCC10	ABCC10
ABCC3	ABCC3
ABCC9	ABCC9
ABCD2	ABCD2
ABCF3	ABCF3
ABCG1	ABCG1
ABCG2	ABCG2
ABI1	ABI1|Abelson interactor 1|ABI-1|abl interactor 1|abl interactor 1abl interactor 1|abl-binding protein 4|Abl-interactor protein 1 long|ABLBP4|E3B1|eps8 SH3 domain-binding protein|interactor protein AblBP4|nap1 binding protein|NAP1BP|spectrin SH3 domain-binding protein 1|SSH3BP|SSH3BP1
ABL1	ABL1|Abelson tyrosine-protein kinase 1|ABL|ABL proto-oncogene 1, non-receptor tyrosine kinaseABL proto-oncogene 1, non-receptor tyrosine kinase|ABL protooncogene 1 nonreceptor tyrosine kinase|BCR-ABL|bcr/abl|bcr/c-abl oncogene protein|c-ABL|c-abl oncogene 1, receptor tyrosine kinase|c-ABL1|CHDSKM|JTK7|p150|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|truncated ABL protooncogene 1 nonreceptor tyrosine kinase|tyrosine-protein kinase ABL1|v-abl|v-abl Abelson murine leukemia viral oncogene homolog 1
ABL2	ABL2|Abelson tyrosine-protein kinase 2|abelson-related gene protein|ABL proto-oncogene 2, non-receptor tyrosine kinaseABL proto-oncogene 2, non-receptor tyrosine kinase|ABLL|ARG|c-abl oncogene 2, non-receptor tyrosine kinase|tyrosine-protein kinase ABL2|tyrosine-protein kinase ARG|v-abl Abelson murine leukemia viral oncogene homolog 2
ABRAXAS1	ABRAXAS1
ACAA1	ACAA1
ACAP1	ACAP1
ACBD6	ACBD6
ACCN1	ACCN1
ACER1	ACER1
ACKR3	ACKR3|atypical chemokine receptor 3|atypical chemokine receptor 3atypical chemokine receptor 3|C-X-C chemokine receptor type 7|chemokine (C-X-C motif) receptor 7|chemokine orphan receptor 1|CMKOR1|CXC-R7|CXCR-7|CXCR7|G protein-coupled receptor|G-protein coupled receptor 159|G-protein coupled receptor RDC1 homolog|GPR159|RDC-1|RDC1
ACPP	ACPP
ACSL3	ACSL3|ACS3|acyl-CoA synthetase long chain family member 3acyl-CoA synthetase long chain family member 3|arachidonate--CoA ligase|FACL3|fatty-acid-Coenzyme A ligase, long-chain 3|LACS 3|LACS3|lignoceroyl-CoA synthase|long-chain acyl-CoA synthetase 3|long-chain-fatty-acid--CoA ligase 3|PRO2194
ACSL6	ACSL6|ACS2|acyl-CoA synthetase long chain family member 6acyl-CoA synthetase long chain family member 6|arachidonate--CoA ligase|FACL6|fatty-acid-Coenzyme A ligase, long-chain 6|LACS 6|LACS2|LACS5|long fatty acyl-CoA synthetase 2|long-chain-fatty-acid--CoA ligase 6
ACTA1	ACTA1
ACTB	ACTB
ACTN4	ACTN4
ACVR1	ACVR1|activin A receptor type 1activin A receptor type 1|activin A receptor, type I|activin A receptor, type II-like kinase 2|activin receptor type I|activin receptor type-1|activin receptor-like kinase 2|ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|hydroxyalkyl-protein kinase|serine/threonine-protein kinase receptor R1|SKR1|TGF-B superfamily receptor type I|TSRI
ACVR2A	ACVR2A|activin A receptor type 2Aactivin A receptor type 2A|activin A receptor, type IIA|activin receptor type-2A|ACTRII|ACVR2
ADCY8	ADCY8
ADCY9	ADCY9
ADH5	ADH5
AFAP1	AFAP1
AFDN	AFDN|AF6|afadin|afadin, adherens junction formation factorafadin, adherens junction formation factor|ALL1-fused gene from chromosome 6 protein|l-afadin|MLL-AF6|MLLT4|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4|myeloid/lymphoid or mixed-lineage leukemia; translocated to, 4|protein AF-6
AFF1	AFF1|AF4|AF4/FMR2 family member 1|AF4/FMR2 family member 1AF4/FMR2 family member 1|ALL1-fused gene from chromosome 4 protein|MLLT2|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 2|PBM1|pre-B-cell monocytic leukemia partner 1|proto-oncogene AF4
AFF3	AFF3|AF4/FMR2 family member 3|AF4/FMR2 family member 3AF4/FMR2 family member 3|LAF4|lymphoid nuclear protein 4|lymphoid nuclear protein related to AF4|MLLT2-like|MLLT2-related protein|protein LAF-4
AFF4	AFF4|AF4/FMR2 family member 4|AF4/FMR2 family member 4AF4/FMR2 family member 4|AF5Q31|ALL1-fused gene from chromosome 5q31 protein|CHOPS|major CDK9 elongation factor-associated protein|MCEF
AFP	AFP
AGAP3	AGAP3
AGBL1	AGBL1
AGGF1	AGGF1
AGK	AGK
AGO2	AGO2
AGR2	AGR2
AHCYL1	AHCYL1
AHCYL2	AHCYL2
AKAP11	AKAP11
AKAP4	AKAP4
AKAP8	AKAP8
AKAP9	AKAP9|A kinase (PRKA) anchor protein (yotiao) 9|A kinase (PRKA) anchor protein 9|A-kinase anchor protein 350 kDa|A-kinase anchor protein 450 kDa|A-kinase anchor protein 9|A-kinase anchoring protein 9A-kinase anchoring protein 9|AKAP 120-like protein|AKAP-9|AKAP350|AKAP450|AKAP9-BRAF fusion protein|centrosome- and Golgi-localized PKN-associated protein|centrosome- and golgi-localized protein kinase N-associated protein|CG-NAP|HYPERION|kinase N-associated protein|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|protein hyperion|protein kinase A anchoring protein 9|protein phosphatase 1, regulatory subunit 45|protein yotiao|YOTIAO
AKT1	AKT1|AKT|AKT serine/threonine kinase 1AKT serine/threonine kinase 1|AKT1m|PKB|PKB alpha|PKB-ALPHA|PRKBA|protein kinase B alpha|proto-oncogene c-Akt|RAC|rac protein kinase alpha|RAC-ALPHA|RAC-alpha serine/threonine-protein kinase|RAC-PK-alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1
AKT2	AKT2|AKT serine/threonine kinase 2AKT serine/threonine kinase 2|HIHGHH|murine thymoma viral (v-akt) homolog-2|PKB beta|PKBB|PKBBETA|PRKBB|protein kinase Akt-2|protein kinase B beta|putative v-akt murine thymoma viral oncoprotein 2|rac protein kinase beta|RAC-BETA|RAC-beta serine/threonine-protein kinase|RAC-PK-beta|v-akt murine thymoma viral oncogene homolog 2
AKT3	AKT3|AKT serine/threonine kinase 3AKT serine/threonine kinase 3|MPPH|MPPH2|PKB gamma|PKB-GAMMA|PKBG|PRKBG|RAC-gamma|RAC-gamma serine/threonine protein kinase|RAC-gamma serine/threonine-protein kinase|RAC-PK-gamma|STK-2|v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)
ALCAM	ALCAM
ALDH1A2	ALDH1A2
ALDH2	ALDH2|acetaldehyde dehydrogenase 2|aldehyde dehydrogenase 2 family (mitochondrial)|aldehyde dehydrogenase 2 family memberaldehyde dehydrogenase 2 family member|aldehyde dehydrogenase, mitochondrial|ALDH class 2|ALDH-E2|ALDHI|ALDM|epididymis secretory sperm binding protein|liver mitochondrial ALDH|nucleus-encoded mitochondrial aldehyde dehydrogenase 2
ALDH4A1	ALDH4A1
ALK	ALK|ALK receptor tyrosine kinaseALK receptor tyrosine kinase|ALK tyrosine kinase receptor|anaplastic lymphoma receptor tyrosine kinase|CD246|CD246 antigen|mutant anaplastic lymphoma kinase|NBLST3
ALOX12B	ALOX12B
ALOX5AP	ALOX5AP
AMER1	AMER1|adenomatous polyposis coli membrane recruitment 1|APC membrane recruitment protein 1|APC membrane recruitment protein 1APC membrane recruitment protein 1|FAM123B|family with sequence similarity 123B|OSCS|protein FAM123B|RP11-403E24.2|Wilms tumor gene on the X chromosome protein|Wilms tumor on the X|WTX
ANGPT1	ANGPT1
ANGPT2	ANGPT2
ANK1	ANK1|ANK|ANK-1|ankyrin 1, erythrocytic|ankyrin 1ankyrin 1|ankyrin-1|ankyrin-R|erythrocyte ankyrin|SPH1|SPH2
ANKRD11	ANKRD11
ANO10	ANO10
ANO5	ANO5
ANPEP	ANPEP
ANTXR2	ANTXR2
ANXA1	ANXA1
ANXA6	ANXA6
AP1B1	AP1B1
AP1M2	AP1M2
APC	APC|adenomatosis polyposis coli tumor suppressor|adenomatous polyposis coli (APC)|adenomatous polyposis coli protein|APC regulator of WNT signaling pathwayAPC regulator of WNT signaling pathway|APC, WNT signaling pathway regulator|BTPS2|deleted in polyposis 2.5|DESMD|DP2|DP2.5|DP3|epididymis secretory sperm binding protein|GS|PPP1R46|protein phosphatase 1, regulatory subunit 46|truncated adenomatosis polyposis coli|WNT signaling pathway regulator
APLNR	APLNR
APOBEC3B	APOBEC3B|A3B|APOBEC1L|apolipoprotein B mRNA editing enzyme catalytic subunit 3Bapolipoprotein B mRNA editing enzyme catalytic subunit 3B|apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B|ARCD3|ARP4|bK150C2.2|cytidine deaminase|DJ742C19.2|DNA dC->dU-editing enzyme APOBEC-3B|phorbolin 2|phorbolin 3|phorbolin-1-related protein|phorbolin-2/3|PHRBNL|probable DNA dC->dU-editing enzyme APOBEC-3B
APP	APP
APPBP2	APPBP2
AR	AR|AIS|androgen receptor|androgen receptorandrogen receptor|AR8|DHTR|dihydrotestosterone receptor|HUMARA|HYSP1|KD|NR3C4|nuclear receptor subfamily 3 group C member 4|SBMA|SMAX1|TFM
ARAF	ARAF|A-RAF|A-Raf proto-oncogene serine/threonine-protein kinase|A-Raf proto-oncogene, serine/threonine kinaseA-Raf proto-oncogene, serine/threonine kinase|ARAF1|Oncogene ARAF1|PKS2|proto-oncogene A-Raf-1|proto-oncogene Pks|RAFA1|Ras-binding protein DA-Raf|serine/threonine-protein kinase A-Raf|v-raf murine sarcoma 3611 viral oncogene homolog 1|v-raf murine sarcoma 3611 viral oncogene-like protein
AREG	AREG
ARF3	ARF3
ARF4	ARF4
ARHGAP26	ARHGAP26|GRAF|GRAF1|GTPase regulator associated with focal adhesion kinase pp125(FAK)|oligophrenin-1-like protein|OPHN1L|OPHN1L1|Rho GTPase activating protein 26Rho GTPase activating protein 26|rho GTPase-activating protein 26
ARHGAP39	ARHGAP39
ARHGAP5	ARHGAP5|GFI2|growth factor independent 2|p100 RasGAP-associated p105 protein|p105 RhoGAP|p190-B|p190BRhoGAP|Rho GTPase activating protein 5Rho GTPase activating protein 5|rho GTPase-activating protein 5|rho-type GTPase-activating protein 5|RhoGAP5
ARHGAP9	ARHGAP9
ARHGEF10	ARHGEF10|GEF10|Rho guanine nucleotide exchange factor (GEF) 10|rho guanine nucleotide exchange factor 10|Rho guanine nucleotide exchange factor 10Rho guanine nucleotide exchange factor 10|SNCV
ARHGEF10L	ARHGEF10L|GrinchGEF|Rho guanine nucleotide exchange factor (GEF) 10-like|Rho guanine nucleotide exchange factor 10 likeRho guanine nucleotide exchange factor 10 like|rho guanine nucleotide exchange factor 10-like protein
ARHGEF12	ARHGEF12|LARG|leukemia-associated rho guanine nucleotide exchange factor|leukemia-associated RhoGEF|PRO2792|Rho guanine nucleotide exchange factor (GEF) 12|rho guanine nucleotide exchange factor 12|Rho guanine nucleotide exchange factor 12Rho guanine nucleotide exchange factor 12
ARHGEF18	ARHGEF18
ARID1A	ARID1A|ARID domain-containing protein 1A|AT rich interactive domain 1A (SWI-like)|AT-rich interaction domain 1AAT-rich interaction domain 1A|AT-rich interactive domain-containing protein 1A|B120|BAF250|BAF250a|BM029|brain protein 120|BRG1-associated factor 250a|C1orf4|chromatin remodeling factor p250|CSS2|ELD|hELD|hOSA1|MRD14|osa homolog 1|OSA1|OSA1 nuclear protein|P270|SMARCF1|SWI-like protein|SWI/SNF complex protein p270|SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1
ARID1B	ARID1B|6A3-5|ARID domain-containing protein 1B|AT rich interactive domain 1B (SWI1-like)|AT-rich interaction domain 1BAT-rich interaction domain 1B|AT-rich interactive domain-containing protein 1B|BAF250B|BRG1-associated factor 250b|BRG1-binding protein ELD/OSA1|BRIGHT|CSS1|DAN15|ELD (eyelid)/OSA protein|ELD/OSA1|MRD12|OSA2|P250R
ARID2	ARID2|ARID domain-containing protein 2|AT rich interactive domain 2 (ARID, RFX-like)|AT-rich interaction domain 2AT-rich interaction domain 2|AT-rich interactive domain-containing protein 2|BAF200|BRG1-associated factor 200|CSS6|p200|zinc finger protein with activation potential|zipzap/p200
ARID5B	ARID5B
ARNT	ARNT|aryl hydrocarbon receptor nuclear translocator|aryl hydrocarbon receptor nuclear translocatoraryl hydrocarbon receptor nuclear translocator|bHLHe2|class E basic helix-loop-helix protein 2|dioxin receptor, nuclear translocator|HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|hypoxia-inducible factor 1, beta subunit|TANGO
ARRDC5	ARRDC5
ASAP2	ASAP2
ASB12	ASB12
ASB17	ASB17
ASCC3	ASCC3
ASNS	ASNS
ASPSCR1	ASPSCR1|alveolar soft part sarcoma chromosomal region candidate gene 1 protein|alveolar soft part sarcoma chromosome region, candidate 1|alveolar soft part sarcoma locus|ASPCR1|ASPL|ASPS|ASPSCR1 tether for SLC2A4, UBX domain containingASPSCR1 tether for SLC2A4, UBX domain containing|ASPSCR1, UBX domain containing tether for SLC2A4|RCC17|renal cell carcinoma gene on chromosome 17|renal cell carcinoma, papillary, 17|renal papillary cell carcinoma protein 17|tether containing UBX domain for GLUT4|TUG|UBX domain protein 9|UBX domain-containing protein 9|UBXD9|UBXN9
ASXL1	ASXL1|additional sex combs like 1, transcriptional regulator|additional sex combs like transcriptional regulator 1|ASXL transcriptional regulator 1ASXL transcriptional regulator 1|BOPS|MDS|polycomb group protein ASXL1|putative Polycomb group protein ASXL1
ASXL2	ASXL2|additional sex combs like 2, transcriptional regulator|additional sex combs-like protein 2|ASXH2|ASXL transcriptional regulator 2ASXL transcriptional regulator 2|polycomb group protein ASXH2|putative Polycomb group protein ASXL2|SHAPNS
ATAD1	ATAD1
ATF1	ATF1|activating transcription factor 1activating transcription factor 1|cAMP-dependent transcription factor ATF-1|cyclic AMP-dependent transcription factor ATF-1|EWS-ATF1|FUS/ATF-1|TREB36
ATF3	ATF3
ATF7IP	ATF7IP
ATIC	ATIC|5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase|5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleotide transformylase/inosinicase|AICAR|AICAR formyltransferase/IMP cyclohydrolase bifunctional enzyme|AICAR transformylase/inosine monophosphate cyclohydrolase|AICARFT|AICARFT/IMPCHASE|bifunctional purine biosynthesis protein ATIC|bifunctional purine biosynthesis protein PURH|epididymis secretory sperm binding protein Li 70p|HEL-S-70p|IMPCHASE|phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase|PURH
ATM	ATM|A-T mutated|AT mutated|AT1|ATA|ataxia telangiectasia mutated|ATC|ATD|ATDC|ATE|ATM serine/threonine kinaseATM serine/threonine kinase|serine-protein kinase ATM|TEL1|TEL1, telomere maintenance 1, homolog|TELO1
